tick,lap,progress,speed,to_middle,moving_angle,steering,throttle,brake,collided,elapsed_ms
1,1,0.4,0.0,0.000,0.0,-0.008,1.000,0.000,false,0
2,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,80
3,1,0.4,-0.0,0.010,0.4,-0.011,1.000,0.000,false,198
4,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,297
5,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,406
6,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,518
7,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,625
8,1,0.4,0.0,0.010,-8.7,0.030,1.000,0.000,false,739
9,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,842
10,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,957
11,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1062
12,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1177
13,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1282
14,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1394
15,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1503
16,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1614
17,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1726
18,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1834
19,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,1948
20,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2056
21,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2162
22,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2273
23,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2383
24,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2492
25,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2606
26,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2713
27,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2823
28,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,2932
29,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3048
30,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3157
31,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3265
32,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3376
33,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3485
34,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3595
35,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3705
36,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3816
37,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,3932
38,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4038
39,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4164
40,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4259
41,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4369
42,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4481
43,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4682
44,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4756
45,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4872
46,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,4987
47,1,0.4,0.0,0.010,47.6,-0.220,1.000,0.000,false,6291
48,1,0.4,-0.0,0.010,47.6,-0.220,1.000,0.000,false,6474
49,1,0.4,5.7,-0.000,-3.6,0.008,1.000,0.000,false,7024
50,1,0.4,7.8,-0.010,-0.1,-0.008,1.000,0.000,false,7155
51,1,0.4,9.7,0.000,1.2,-0.014,1.000,0.000,false,7273
52,1,0.4,11.6,0.010,1.0,-0.013,1.000,0.000,false,7382
53,1,0.4,13.5,0.010,0.9,-0.013,1.000,0.000,false,7493
54,1,0.4,14.0,0.020,0.8,-0.013,1.000,0.000,false,7610
55,1,0.4,15.4,0.020,0.8,-0.013,1.000,0.000,false,7710
56,1,0.4,16.9,0.030,0.7,-0.013,1.000,0.000,false,7819
57,1,0.4,19.2,0.040,0.6,-0.012,1.000,0.000,false,8004
58,1,0.4,21.3,0.040,0.5,-0.012,1.000,0.000,false,8149
59,1,0.4,22.2,0.050,0.4,-0.012,1.000,0.000,false,8242
60,1,0.4,24.2,0.050,0.3,-0.011,1.000,0.000,false,8353
61,1,0.4,26.4,0.060,0.2,-0.011,1.000,0.000,false,8469
62,1,0.4,28.4,0.060,0.1,-0.011,1.000,0.000,false,8573
63,1,0.4,30.5,0.060,0.1,-0.011,1.000,0.000,false,8683
64,1,0.4,32.2,0.060,-0.0,-0.010,1.000,0.000,false,8792
65,1,0.8,34.2,0.070,1.5,-0.013,1.000,0.000,false,8907
66,1,0.8,36.2,0.100,1.4,-0.013,1.000,0.000,false,9022
67,1,0.8,36.7,0.120,1.3,-0.014,1.000,0.000,false,9121
68,1,0.8,38.6,0.150,1.2,-0.014,1.000,0.000,false,9232
69,1,0.8,40.5,0.170,1.1,-0.014,1.000,0.000,false,9345
70,1,0.8,42.4,0.190,1.0,-0.015,1.000,0.000,false,9456
71,1,0.8,44.3,0.210,0.9,-0.015,1.000,0.000,false,9563
72,1,0.8,46.5,0.230,0.7,-0.014,1.000,0.000,false,9698
73,1,1.2,48.4,0.270,1.6,-0.016,1.000,0.000,false,9814
74,1,1.2,50.2,0.310,1.5,-0.017,1.000,0.000,false,9928
75,1,1.2,51.8,0.350,1.4,-0.018,1.000,0.000,false,10033
76,1,1.2,53.6,0.380,1.2,-0.018,1.000,0.000,false,10144
77,1,1.2,55.4,0.410,1.1,-0.018,1.000,0.000,false,10256
78,1,1.2,57.1,0.440,1.0,-0.019,1.000,0.000,false,10361
79,1,1.5,58.6,0.470,1.3,-0.016,1.000,0.000,false,10469
80,1,1.5,60.4,0.500,1.1,-0.016,1.000,0.000,false,10580
81,1,1.5,62.1,0.530,1.0,-0.016,1.000,0.000,false,10690
82,1,1.5,63.8,0.560,0.8,-0.016,1.000,0.000,false,10804
83,1,1.5,65.6,0.590,0.7,-0.017,1.000,0.000,false,10909
84,1,1.9,67.0,0.600,0.4,-0.010,1.000,0.000,false,11017
85,1,1.9,68.7,0.610,0.3,-0.010,1.000,0.000,false,11128
86,1,1.9,70.4,0.620,0.2,-0.010,1.000,0.000,false,11241
87,1,1.9,72.1,0.620,0.0,-0.009,1.000,0.000,false,11353
88,1,1.9,73.8,0.620,-0.1,-0.009,1.000,0.000,false,11460
89,1,2.3,75.5,0.600,-0.8,-0.001,1.000,0.000,false,11571
90,1,2.3,76.9,0.570,-0.9,0.001,1.000,0.000,false,11680
91,1,2.3,78.5,0.530,-0.9,0.002,1.000,0.000,false,11792
